iter	Passed	Remaining
0	0	84
1	1	67
2	1	60
3	2	58
4	3	62
5	4	64
6	4	62
7	5	60
8	5	58
9	6	56
10	6	54
11	7	53
12	7	51
13	8	50
14	8	49
15	9	48
16	9	47
17	11	53
18	12	53
19	13	53
20	13	52
21	14	52
22	15	51
23	16	51
24	16	50
25	18	51
26	18	50
27	19	50
28	20	49
29	20	48
30	21	47
31	21	45
32	22	44
33	22	43
34	23	42
35	23	41
36	24	41
37	24	40
38	25	39
39	26	39
40	26	38
41	26	37
42	27	36
43	28	36
44	29	35
45	29	34
46	30	34
47	30	33
48	31	32
49	31	31
50	32	30
51	33	30
52	33	29
53	34	29
54	34	28
55	35	27
56	35	26
57	36	26
58	36	25
59	37	24
60	37	23
61	38	23
62	38	22
63	38	21
64	39	21
65	40	20
66	40	20
67	41	19
68	41	18
69	42	18
70	42	17
71	43	16
72	43	16
73	44	15
74	44	14
75	45	14
76	45	13
77	46	13
78	46	12
79	47	11
80	48	11
81	48	10
82	49	10
83	50	9
84	50	8
85	51	8
86	51	7
87	52	7
88	52	6
89	53	5
90	53	5
91	54	4
92	55	4
93	56	3
94	57	3
95	58	2
96	58	1
97	59	1
98	59	0
99	60	0
