iter	Passed	Remaining
0	144	144397
1	145	72761
2	146	48722
3	147	36709
4	148	29527
5	150	25010
6	152	21562
7	152	18951
8	153	16910
9	154	15260
10	154	13908
11	155	12779
12	155	11832
13	156	11016
14	156	10308
15	157	9685
16	158	9139
17	158	8650
18	159	8215
19	159	7823
20	160	7470
21	160	7148
22	161	6867
23	162	6626
24	163	6380
25	164	6150
26	165	5946
27	165	5751
28	166	5575
29	167	5408
30	168	5252
31	168	5103
32	169	4963
33	170	4834
34	170	4710
35	171	4593
36	172	4483
37	173	4379
38	173	4279
39	174	4185
40	175	4095
41	175	4010
42	178	3976
43	179	3899
44	180	3824
45	180	3751
46	181	3682
47	182	3615
48	183	3552
49	183	3492
50	184	3438
51	185	3383
52	186	3329
53	186	3274
54	187	3223
55	188	3175
56	189	3130
57	189	3081
58	190	3035
59	190	2989
60	192	2961
61	192	2919
62	193	2878
63	194	2837
64	194	2799
65	195	2761
66	195	2728
67	196	2693
68	197	2658
69	197	2625
70	198	2593
71	198	2561
72	199	2530
73	199	2500
74	200	2470
75	200	2442
76	201	2413
77	201	2386
78	202	2359
79	202	2333
80	203	2308
81	203	2283
82	204	2256
83	204	2233
84	205	2216
85	207	2205
86	208	2185
87	208	2163
88	209	2142
89	209	2121
90	210	2100
91	210	2081
92	211	2061
93	211	2042
94	212	2024
95	212	2005
96	213	1988
97	214	1970
98	214	1952
99	215	1936
100	215	1919
101	216	1903
102	216	1886
103	217	1871
104	217	1856
105	218	1840
106	218	1826
107	219	1815
108	220	1801
109	220	1787
110	222	1778
111	223	1769
112	223	1758
113	224	1746
114	225	1734
115	225	1721
116	226	1708
117	226	1695
118	227	1683
119	227	1671
120	228	1659
121	228	1647
122	229	1636
123	229	1624
124	230	1613
125	231	1602
126	231	1591
127	231	1580
128	232	1570
129	233	1559
130	233	1549
131	234	1539
132	234	1529
133	235	1519
134	235	1510
135	236	1504
136	237	1497
137	238	1490
138	239	1480
139	239	1472
140	240	1463
141	240	1453
142	241	1444
143	241	1436
144	242	1427
145	242	1419
146	243	1410
147	243	1402
148	244	1394
149	244	1386
150	245	1378
151	245	1371
152	246	1363
153	246	1355
154	247	1348
155	248	1341
156	248	1334
157	249	1327
158	249	1320
159	250	1312
160	250	1305
161	250	1297
162	252	1296
163	253	1291
164	254	1287
165	255	1282
166	255	1275
167	256	1268
168	256	1262
169	257	1255
170	257	1249
171	258	1243
172	258	1237
173	259	1231
174	259	1225
175	260	1219
176	261	1215
177	261	1209
178	262	1203
179	262	1197
180	263	1192
181	263	1186
182	264	1180
183	265	1175
184	265	1169
185	266	1166
186	268	1165
187	269	1162
188	269	1157
189	270	1153
190	271	1149
191	272	1145
192	272	1139
193	273	1135
194	273	1129
195	274	1124
196	275	1120
197	275	1116
198	276	1111
199	276	1106
200	277	1101
201	277	1096
202	278	1092
203	278	1087
204	279	1082
205	279	1078
206	280	1073
207	280	1069
208	282	1068
209	282	1064
210	283	1059
211	284	1055
212	284	1051
213	285	1046
214	285	1042
215	286	1038
216	286	1034
217	287	1029
218	287	1026
219	288	1022
220	288	1018
221	289	1014
222	289	1010
223	290	1006
224	290	1002
225	291	998
226	291	994
227	292	990
228	292	986
229	293	983
230	294	979
231	294	975
232	295	973
233	296	969
234	297	967
235	297	964
236	298	960
237	298	957
238	299	953
239	300	950
240	300	946
241	301	943
242	301	940
243	302	936
244	302	933
245	303	929
246	303	926
247	304	922
248	304	919
249	305	916
250	305	912
251	306	909
252	307	906
253	307	903
254	308	899
255	308	896
256	309	893
257	310	892
258	314	898
259	315	896
260	315	893
261	316	890
262	316	887
263	317	884
264	317	881
265	318	878
266	318	875
267	319	872
268	319	869
269	320	866
270	321	863
271	321	860
272	322	857
273	322	854
274	323	851
275	323	848
276	324	846
277	324	843
278	325	840
279	325	838
280	327	837
281	327	835
282	328	832
283	329	831
284	330	828
285	331	827
286	332	824
287	332	822
288	333	820
289	333	817
290	334	814
291	334	812
292	335	809
293	336	807
294	336	804
295	337	802
296	337	799
297	338	797
298	339	795
299	339	792
300	340	789
301	340	787
302	341	784
303	342	783
304	343	782
305	344	780
306	345	778
307	345	777
308	347	776
309	347	773
310	348	771
311	348	768
312	349	766
313	349	764
314	350	761
315	350	759
316	351	757
317	352	755
318	352	752
319	353	750
320	353	748
321	354	745
322	354	743
323	355	741
324	355	739
325	358	741
326	359	740
327	360	738
328	361	736
329	362	734
330	362	732
331	363	730
332	363	728
333	364	726
334	364	724
335	365	722
336	366	720
337	366	717
338	367	715
339	367	713
340	368	711
341	368	709
342	369	707
343	369	705
344	370	703
345	371	701
346	372	700
347	373	699
348	377	703
349	382	709
350	384	711
351	386	711
352	388	711
353	389	710
354	390	709
355	391	707
356	392	706
357	393	705
358	398	712
359	407	723
360	408	722
361	409	720
362	410	720
363	414	723
364	418	727
365	419	727
366	420	726
367	421	724
368	422	723
369	423	721
370	424	719
371	424	717
372	425	715
373	433	726
374	435	725
375	436	724
376	437	722
377	437	720
378	438	718
379	439	717
380	440	715
381	447	724
382	448	722
383	449	721
384	450	719
385	451	717
386	451	715
387	453	715
388	454	713
389	454	710
390	455	708
391	455	706
392	457	706
393	462	710
394	463	709
395	464	707
396	464	706
397	465	704
398	466	702
399	467	701
400	468	699
401	468	697
402	469	695
403	470	693
404	470	691
405	474	693
406	476	694
407	478	694
408	479	693
409	480	691
410	481	689
411	481	687
412	483	686
413	483	684
414	484	682
415	485	680
416	485	678
417	486	676
418	489	678
419	492	680
420	494	679
421	494	677
422	495	676
423	496	674
424	497	672
425	497	670
426	498	669
427	499	667
428	500	665
429	500	663
430	501	661
431	506	666
432	507	664
433	508	663
434	509	662
435	510	660
436	511	658
437	512	657
438	513	656
439	514	654
440	514	652
441	515	650
442	515	648
443	516	646
444	517	645
445	522	649
446	524	648
447	525	647
448	525	645
449	526	643
450	527	642
451	528	640
452	528	638
453	529	636
454	530	634
455	530	632
456	531	631
457	531	629
458	532	627
459	535	629
460	537	628
461	537	626
462	538	624
463	538	622
464	539	620
465	539	618
466	540	616
467	540	614
468	541	612
469	541	611
470	542	609
471	542	607
472	543	605
473	543	603
474	544	601
475	544	599
476	545	598
477	546	596
478	546	594
479	547	592
480	551	595
481	552	593
482	554	593
483	555	591
484	555	590
485	556	588
486	558	588
487	559	587
488	560	585
489	561	584
490	561	582
491	562	580
492	564	580
493	565	579
494	566	578
495	567	576
496	567	574
497	568	573
498	569	571
499	569	569
500	570	567
501	570	565
502	571	564
503	572	563
504	573	562
505	574	560
506	574	559
507	575	557
508	576	555
509	576	553
510	577	552
511	578	551
512	580	551
513	581	549
514	582	548
515	583	547
516	584	545
517	584	544
518	585	542
519	587	542
520	587	540
521	588	538
522	589	537
523	589	535
524	590	533
525	590	532
526	591	530
527	591	528
528	592	527
529	593	526
530	595	526
531	596	524
532	597	523
533	597	521
534	598	520
535	598	518
536	599	516
537	599	515
538	600	513
539	600	511
540	601	510
541	601	508
542	602	507
543	603	505
544	603	503
545	604	502
546	604	500
547	605	499
548	605	497
549	606	495
550	606	494
551	607	492
552	608	491
553	610	491
554	611	490
555	612	489
556	613	488
557	614	486
558	615	485
559	615	483
560	616	482
561	616	480
562	617	479
563	617	477
564	618	476
565	618	474
566	619	473
567	619	471
568	620	469
569	620	468
570	621	467
571	622	465
572	623	464
573	624	463
574	625	462
575	625	460
576	626	459
577	627	457
578	627	456
579	628	454
580	628	453
581	629	451
582	629	450
583	630	448
584	630	447
585	631	445
586	631	444
587	632	442
588	632	441
589	633	440
590	633	438
591	634	437
592	634	435
593	635	434
594	635	432
595	636	431
596	636	429
597	637	428
598	638	427
599	639	426
600	640	424
601	640	423
602	641	422
603	641	420
604	642	419
605	642	417
606	643	416
607	643	415
608	644	413
609	645	412
610	646	411
611	646	410
612	647	408
613	648	407
614	649	406
615	649	404
616	650	403
617	650	402
618	651	401
619	653	400
620	654	399
621	654	397
622	655	396
623	655	395
624	656	393
625	656	392
626	657	391
627	657	389
628	658	388
629	658	387
630	659	385
631	660	384
632	660	383
633	661	381
634	661	380
635	662	378
636	662	377
637	663	376
638	663	375
639	664	373
640	664	372
641	665	371
642	665	369
643	666	368
644	668	367
645	669	366
646	669	365
647	670	364
648	670	362
649	671	361
650	671	360
651	672	358
652	673	357
653	673	356
654	674	355
655	674	353
656	675	352
657	675	351
658	676	349
659	676	348
660	677	347
661	677	346
662	678	344
663	678	343
664	679	342
665	679	340
666	680	339
667	680	338
668	681	337
669	682	335
670	683	335
671	684	334
672	685	333
673	686	332
674	687	330
675	687	329
676	688	328
677	689	327
678	689	325
679	690	324
680	690	323
681	691	322
682	691	320
683	692	319
684	692	318
685	693	317
686	693	316
687	694	314
688	694	313
689	695	312
690	695	311
691	696	309
692	696	308
693	698	307
694	699	306
695	699	305
696	700	304
697	702	303
698	702	302
699	703	301
700	703	300
701	704	299
702	705	297
703	705	296
704	706	295
705	706	294
706	707	293
707	707	291
708	708	290
709	708	289
710	709	288
711	709	287
712	710	285
713	710	284
714	711	283
715	711	282
716	712	281
717	713	280
718	714	279
719	715	278
720	715	276
721	716	275
722	716	274
723	717	273
724	717	272
725	718	271
726	718	269
727	719	268
728	719	267
729	720	266
730	720	265
731	721	264
732	721	262
733	722	261
734	722	260
735	723	259
736	723	258
737	724	257
738	725	256
739	725	254
740	726	253
741	726	252
742	727	251
743	727	250
744	729	249
745	730	248
746	730	247
747	731	246
748	731	245
749	732	244
750	733	243
751	733	241
752	734	240
753	734	239
754	735	238
755	735	237
756	736	236
757	736	235
758	737	234
759	737	232
760	738	231
761	738	230
762	739	229
763	739	228
764	740	227
765	740	226
766	741	225
767	741	224
768	743	223
769	744	222
770	744	221
771	745	220
772	745	218
773	746	217
774	746	216
775	747	215
776	747	214
777	748	213
778	748	212
779	749	211
780	749	210
781	750	209
782	751	208
783	751	207
784	752	205
785	752	204
786	753	203
787	753	202
788	754	201
789	754	200
790	755	199
791	755	198
792	756	197
793	756	196
794	758	195
795	758	194
796	759	193
797	760	192
798	760	191
799	761	190
800	761	189
801	762	188
802	762	187
803	763	186
804	763	185
805	764	183
806	764	182
807	765	181
808	765	180
809	766	179
810	766	178
811	767	177
812	767	176
813	768	175
814	768	174
815	769	173
816	770	172
817	770	171
818	771	170
819	771	169
820	772	168
821	773	167
822	773	166
823	774	165
824	774	164
825	775	163
826	775	162
827	776	161
828	776	160
829	777	159
830	777	158
831	778	157
832	778	156
833	779	155
834	779	154
835	780	153
836	780	152
837	781	151
838	781	150
839	782	149
840	783	148
841	783	147
842	784	146
843	785	145
844	786	144
845	787	143
846	788	142
847	789	141
848	790	140
849	791	139
850	791	138
851	792	137
852	792	136
853	793	135
854	793	134
855	794	133
856	794	132
857	795	131
858	796	130
859	796	129
860	797	128
861	797	127
862	798	126
863	798	125
864	799	124
865	800	123
866	801	122
867	802	121
868	803	121
869	803	120
870	804	119
871	804	118
872	805	117
873	805	116
874	806	115
875	806	114
876	807	113
877	807	112
878	808	111
879	808	110
880	809	109
881	810	108
882	810	107
883	811	106
884	811	105
885	812	104
886	812	103
887	813	102
888	813	101
889	814	100
890	815	99
891	816	98
892	816	97
893	817	96
894	817	95
895	818	94
896	818	94
897	819	93
898	820	92
899	820	91
900	821	90
901	821	89
902	822	88
903	822	87
904	823	86
905	823	85
906	824	84
907	824	83
908	825	82
909	825	81
910	826	80
911	827	79
912	827	78
913	828	77
914	828	76
915	829	76
916	830	75
917	831	74
918	832	73
919	833	72
920	834	71
921	834	70
922	835	69
923	835	68
924	836	67
925	836	66
926	837	65
927	837	65
928	838	64
929	838	63
930	839	62
931	839	61
932	840	60
933	840	59
934	841	58
935	842	57
936	842	56
937	843	55
938	843	54
939	844	53
940	846	53
941	847	52
942	848	51
943	848	50
944	849	49
945	850	48
946	851	47
947	851	46
948	852	45
949	853	44
950	854	44
951	855	43
952	855	42
953	856	41
954	857	40
955	857	39
956	858	38
957	858	37
958	859	36
959	860	35
960	861	34
961	861	34
962	862	33
963	862	32
964	863	31
965	863	30
966	864	29
967	864	28
968	865	27
969	865	26
970	866	25
971	866	24
972	867	24
973	867	23
974	868	22
975	868	21
976	869	20
977	870	19
978	870	18
979	871	17
980	871	16
981	872	15
982	872	15
983	873	14
984	874	13
985	875	12
986	876	11
987	877	10
988	878	9
989	879	8
990	879	7
991	880	7
992	881	6
993	881	5
994	882	4
995	882	3
996	883	2
997	883	1
998	884	0
999	884	0
